condition,seed,iteration,best_combined_score
treatment,100,10,-3876.4900530777777
treatment,100,15,-3876.2291007111107
treatment,100,20,-3876.2291007111107
treatment,100,25,-3876.2291007111107
treatment,100,30,-3876.2291007111107
treatment,100,5,-3934.916613055555
treatment,101,10,-3925.515777633333
treatment,101,15,-3914.9995789444442
treatment,101,20,-3914.9995789444442
treatment,101,25,-3914.9995789444442
treatment,101,30,-3914.9995789444442
treatment,101,5,-3993.101913755556
control,100,10,-4141.826488544444
control,100,15,-4053.2229171888885
control,100,20,-4053.2229171888885
control,100,25,-4053.2229171888885
control,100,30,-4053.2229171888885
control,100,5,-4165.5109995
control,101,10,-4538.702314955555
control,101,15,-4538.702314955555
control,101,20,-4538.702314955555
control,101,25,-4538.702314955555
control,101,30,-4538.702314955555
control,101,5,-4538.702314955555
